!NGx Ngy
171 121
!  x[cm]	   y[cm]	  Bx[Arb]	By[Arb]		
-6.700000	-3.800000	 0.426095	-0.406745
-6.700000	-3.700000	 0.420882	-0.420826
-6.700000	-3.600000	 0.424485	-0.437434
-6.700000	-3.500000	 0.420786	-0.456847
-6.700000	-3.400000	 0.418130	-0.472229
-6.700000	-3.300000	 0.415375	-0.485565
-6.700000	-3.200000	 0.404210	-0.510386
-6.700000	-3.100000	 0.403107	-0.522411
-6.700000	-3.000000	 0.395318	-0.539338
-6.700000	-2.900000	 0.393812	-0.560066
-6.700000	-2.800000	 0.386116	-0.577482
-6.700000	-2.700000	 0.377027	-0.591901
-6.700000	-2.600000	 0.369901	-0.610719
-6.700000	-2.500000	 0.359213	-0.624720
-6.700000	-2.400000	 0.344600	-0.643071
-6.700000	-2.300000	 0.338109	-0.654855
-6.700000	-2.200000	 0.326852	-0.672013
-6.700000	-2.100000	 0.319442	-0.687668
-6.700000	-2.000000	 0.303747	-0.696942
-6.700000	-1.900000	 0.290234	-0.714518
-6.700000	-1.800000	 0.279607	-0.726188
-6.700000	-1.700000	 0.265716	-0.737438
-6.700000	-1.600000	 0.249287	-0.747072
-6.700000	-1.500000	 0.230824	-0.758091
-6.700000	-1.400000	 0.218860	-0.770396
-6.700000	-1.300000	 0.208063	-0.775367
-6.700000	-1.200000	 0.187301	-0.782901
-6.700000	-1.100000	 0.173088	-0.792091
-6.700000	-1.000000	 0.159953	-0.796113
-6.700000	-0.900000	 0.143176	-0.809063
-6.700000	-0.800000	 0.128858	-0.810501
-6.700000	-0.700000	 0.114555	-0.816108
-6.700000	-0.600000	 0.095955	-0.824121
-6.700000	-0.500000	 0.078299	-0.823540
-6.700000	-0.400000	 0.067513	-0.831289
-6.700000	-0.300000	 0.048070	-0.828550
-6.700000	-0.200000	 0.031928	-0.833192
-6.700000	-0.100000	 0.016742	-0.835875
-6.700000	-0.000000	 0.000883	-0.833474
-6.700000	 0.100000	-0.018536	-0.831571
-6.700000	 0.200000	-0.032952	-0.831369
-6.700000	 0.300000	-0.050977	-0.825847
-6.700000	 0.400000	-0.063996	-0.826832
-6.700000	 0.500000	-0.081930	-0.829027
-6.700000	 0.600000	-0.094318	-0.821892
-6.700000	 0.700000	-0.110528	-0.818212
-6.700000	 0.800000	-0.127404	-0.816665
-6.700000	 0.900000	-0.149700	-0.809789
-6.700000	 1.000000	-0.163110	-0.797122
-6.700000	 1.100000	-0.177547	-0.796827
-6.700000	 1.200000	-0.193917	-0.789446
-6.700000	 1.300000	-0.207612	-0.777499
-6.700000	 1.400000	-0.226879	-0.768595
-6.700000	 1.500000	-0.238288	-0.755961
-6.700000	 1.600000	-0.252819	-0.748477
-6.700000	 1.700000	-0.263022	-0.736216
-6.700000	 1.800000	-0.276763	-0.728719
-6.700000	 1.900000	-0.292327	-0.713992
-6.700000	 2.000000	-0.302608	-0.696472
-6.700000	 2.100000	-0.317148	-0.686110
-6.700000	 2.200000	-0.325621	-0.675887
-6.700000	 2.300000	-0.334901	-0.655825
-6.700000	 2.400000	-0.345117	-0.644234
-6.700000	 2.500000	-0.365620	-0.628138
-6.700000	 2.600000	-0.365814	-0.613402
-6.700000	 2.700000	-0.379442	-0.594775
-6.700000	 2.800000	-0.380725	-0.576449
-6.700000	 2.900000	-0.386017	-0.560961
-6.700000	 3.000000	-0.394971	-0.544335
-6.700000	 3.100000	-0.405637	-0.524641
-6.700000	 3.200000	-0.404285	-0.509707
-6.700000	 3.300000	-0.412693	-0.491378
-6.700000	 3.400000	-0.419908	-0.472787
-6.700000	 3.500000	-0.416004	-0.455035
-6.700000	 3.600000	-0.419965	-0.441767
-6.700000	 3.700000	-0.423281	-0.419408
-6.700000	 3.800000	-0.423669	-0.403896
-6.700000	 3.900000	-0.430211	-0.382955
-6.700000	 4.000000	-0.427976	-0.369346
-6.700000	 4.100000	-0.429498	-0.356351
-6.700000	 4.200000	-0.428537	-0.340539
-6.700000	 4.300000	-0.425283	-0.323325
-6.700000	 4.400000	-0.426583	-0.309838
-6.700000	 4.500000	-0.426033	-0.292626
-6.700000	 4.600000	-0.423373	-0.278645
-6.700000	 4.700000	-0.421690	-0.258980
-6.700000	 4.800000	-0.422551	-0.250808
-6.700000	 4.900000	-0.421086	-0.236764
-6.700000	 5.000000	-0.420255	-0.222073
-6.700000	 5.100000	-0.413864	-0.209738
-6.700000	 5.200000	-0.412586	-0.195428
-6.700000	 5.300000	-0.410967	-0.180800
-6.700000	 5.400000	-0.405844	-0.171617
-6.700000	 5.500000	-0.405169	-0.158386
-6.700000	 5.600000	-0.407088	-0.146326
-6.700000	 5.700000	-0.401139	-0.137745
-6.700000	 5.800000	-0.401191	-0.128812
-6.700000	 5.900000	-0.398779	-0.116795
-6.700000	 6.000000	-0.396367	-0.105334
-6.600000	-6.000000	 0.408186	-0.100802
-6.600000	-5.900000	 0.408983	-0.113112
-6.600000	-5.800000	 0.410275	-0.122560
-6.600000	-5.700000	 0.415380	-0.133507
-6.600000	-5.600000	 0.414722	-0.145401
-6.600000	-5.500000	 0.416987	-0.153242
-6.600000	-5.400000	 0.420492	-0.169530
-6.600000	-5.300000	 0.424005	-0.181720
-6.600000	-5.200000	 0.425807	-0.195007
-6.600000	-5.100000	 0.427930	-0.207679
-6.600000	-5.000000	 0.432810	-0.221189
-6.600000	-4.900000	 0.432754	-0.235370
-6.600000	-4.800000	 0.433791	-0.244274
-6.600000	-4.700000	 0.437002	-0.266885
-6.600000	-4.600000	 0.435427	-0.276700
-6.600000	-4.500000	 0.439679	-0.294686
-6.600000	-4.400000	 0.442427	-0.303749
-6.600000	-4.300000	 0.440623	-0.321763
-6.600000	-4.200000	 0.444709	-0.339503
-6.600000	-4.100000	 0.447220	-0.352512
-6.600000	-4.000000	 0.442815	-0.368452
-6.600000	-3.900000	 0.446457	-0.389291
-6.600000	-3.800000	 0.443398	-0.403129
-6.600000	-3.700000	 0.436948	-0.420287
-6.600000	-3.600000	 0.441116	-0.441378
-6.600000	-3.500000	 0.438772	-0.457719
-6.600000	-3.400000	 0.437365	-0.476738
-6.600000	-3.300000	 0.429688	-0.495586
-6.600000	-3.200000	 0.424089	-0.512401
-6.600000	-3.100000	 0.416542	-0.533924
-6.600000	-3.000000	 0.419687	-0.549665
-6.600000	-2.900000	 0.408510	-0.564603
-6.600000	-2.800000	 0.401684	-0.583449
-6.600000	-2.700000	 0.391316	-0.600435
-6.600000	-2.600000	 0.381174	-0.622820
-6.600000	-2.500000	 0.371942	-0.632409
-6.600000	-2.400000	 0.365633	-0.650576
-6.600000	-2.300000	 0.351764	-0.669913
-6.600000	-2.200000	 0.344793	-0.679123
-6.600000	-2.100000	 0.332161	-0.701386
-6.600000	-2.000000	 0.315350	-0.714646
-6.600000	-1.900000	 0.300877	-0.723457
-6.600000	-1.800000	 0.287078	-0.736622
-6.600000	-1.700000	 0.280725	-0.750216
-6.600000	-1.600000	 0.262282	-0.761514
-6.600000	-1.500000	 0.247161	-0.775050
-6.600000	-1.400000	 0.234137	-0.782337
-6.600000	-1.300000	 0.216455	-0.793412
-6.600000	-1.200000	 0.200937	-0.796725
-6.600000	-1.100000	 0.183412	-0.814821
-6.600000	-1.000000	 0.168859	-0.814377
-6.600000	-0.900000	 0.153518	-0.823837
-6.600000	-0.800000	 0.133506	-0.829957
-6.600000	-0.700000	 0.119695	-0.830726
-6.600000	-0.600000	 0.104327	-0.841773
-6.600000	-0.500000	 0.081779	-0.842227
-6.600000	-0.400000	 0.067343	-0.842823
-6.600000	-0.300000	 0.051788	-0.847045
-6.600000	-0.200000	 0.038068	-0.850118
-6.600000	-0.100000	 0.020977	-0.847225
-6.600000	-0.000000	 0.000123	-0.848984
-6.600000	 0.100000	-0.019813	-0.845991
-6.600000	 0.200000	-0.036829	-0.848098
-6.600000	 0.300000	-0.046251	-0.843663
-6.600000	 0.400000	-0.064936	-0.844010
-6.600000	 0.500000	-0.084535	-0.842952
-6.600000	 0.600000	-0.099521	-0.841735
-6.600000	 0.700000	-0.118885	-0.838243
-6.600000	 0.800000	-0.135583	-0.828525
-6.600000	 0.900000	-0.149605	-0.822715
-6.600000	 1.000000	-0.164565	-0.817583
-6.600000	 1.100000	-0.185757	-0.813696
-6.600000	 1.200000	-0.197918	-0.802020
-6.600000	 1.300000	-0.215922	-0.793419
-6.600000	 1.400000	-0.231069	-0.783703
-6.600000	 1.500000	-0.245791	-0.773327
-6.600000	 1.600000	-0.257037	-0.760365
-6.600000	 1.700000	-0.276123	-0.752174
-6.600000	 1.800000	-0.289353	-0.736517
-6.600000	 1.900000	-0.303864	-0.724511
-6.600000	 2.000000	-0.308653	-0.711503
-6.600000	 2.100000	-0.327287	-0.695774
-6.600000	 2.200000	-0.342901	-0.680909
-6.600000	 2.300000	-0.354266	-0.665417
-6.600000	 2.400000	-0.365216	-0.650296
-6.600000	 2.500000	-0.372872	-0.638200
-6.600000	 2.600000	-0.379261	-0.618434
-6.600000	 2.700000	-0.397251	-0.601446
-6.600000	 2.800000	-0.401588	-0.584867
